OrderID,ProductID,Quantity
O04906,P0296,1
O02548,P0256,4
O00889,P0387,5
O02002,P0389,3
O04834,P0242,3
O03468,P0477,1
O01585,P0093,5
O03933,P0192,4
O04839,P0407,5
O00892,P0235,1
O02161,P0077,1
O01205,P0052,4
O00748,P0409,1
O04354,P0229,1
O04284,P0342,4
O01208,P0251,1
O01983,P0263,5
O00055,P0035,3
O01913,P0487,4
O02250,P0369,3
O00463,P0115,1
O04517,P0248,3
O02617,P0059,1
O02511,P0308,5
O01566,P0415,5
O00920,P0322,2
O04771,P0498,1
O02779,P0049,2
O04960,P0084,2
O04423,P0482,5
O04366,P0285,2
O01091,P0214,4
O00130,P0139,4
O03090,P0236,1
O02106,P0427,3
O04271,P0145,2
O04480,P0109,4
O04135,P0202,2
O01305,P0085,1
O00449,P0080,3
O00482,P0104,5
O00756,P0133,1
O00117,P0355,2
O04168,P0401,1
O00474,P0407,1
O04169,P0393,3
O04285,P0474,1
O03995,P0070,1
O01238,P0261,2
O03606,P0466,4
O00511,P0386,5
O03541,P0451,4
O04247,P0195,5
O03198,P0141,5
O03484,P0262,5
O01830,P0120,1
O03101,P0069,5
O00917,P0334,3
O04251,P0322,1
O00669,P0037,4
O00741,P0105,3
O04346,P0002,1
O04907,P0184,5
O01738,P0374,2
O02701,P0345,2
O03343,P0287,3
O00141,P0043,3
O03580,P0244,3
O02744,P0016,3
O03726,P0149,1
O04666,P0023,2
O00664,P0354,3
O02432,P0067,1
O00842,P0303,5
O03536,P0195,5
O02566,P0426,2
O03701,P0219,5
O03107,P0250,5
O02596,P0262,5
O04562,P0293,3
O00059,P0312,1
O02184,P0004,3
O02941,P0150,4
O00552,P0439,5
O03630,P0175,3
O01476,P0039,5
O01788,P0226,4
O00789,P0063,5
O04924,P0060,2
O02855,P0114,5
O00187,P0286,1
O01881,P0141,5
O04246,P0299,1
O01034,P0051,4
O03234,P0473,3
O04884,P0078,2
O01910,P0187,4
O04102,P0159,4
O03342,P0330,2
O00930,P0444,3
O04892,P0280,3
O04903,P0081,1
O04269,P0253,3
O02948,P0081,4
O02486,P0424,4
O01564,P0306,4
O04122,P0074,5
O01924,P0481,3
O03632,P0124,4
O02077,P0321,5
O03858,P0368,4
O01984,P0450,4
O04953,P0485,5
O00977,P0402,3
O04907,P0003,3
O02491,P0495,2
O00732,P0037,4
O01372,P0359,2
O02263,P0248,3
O00969,P0209,3
O04313,P0458,1
O01137,P0476,3
O00920,P0388,4
O02941,P0015,5
O03901,P0309,2
O02153,P0033,4
O03981,P0496,1
O04016,P0364,1
O03860,P0217,2
O00051,P0031,4
O03091,P0401,1
O00237,P0221,3
O04139,P0354,4
O03140,P0020,2
O02742,P0156,5
O04918,P0419,1
O01894,P0407,2
O00323,P0351,3
O04031,P0402,3
O03595,P0188,1
O03578,P0328,5
O00780,P0382,5
O02874,P0161,1
O01794,P0164,1
O03751,P0005,1
O00071,P0116,4
O01169,P0089,1
O03404,P0220,3
O01415,P0447,5
O04843,P0075,1
O00605,P0113,4
O01068,P0214,2
O03378,P0006,4
O00279,P0381,2
O00312,P0107,3
O04782,P0465,5
O03923,P0382,1
O01177,P0047,5
O00976,P0417,4
O04561,P0448,3
O00539,P0430,4
O02464,P0175,1
O00033,P0069,5
O04149,P0422,5
O00872,P0098,5
O02986,P0280,4
O02608,P0103,3
O04536,P0414,3
O03693,P0112,5
O04056,P0449,2
O02332,P0434,3
O01869,P0278,4
O03566,P0448,4
O03421,P0386,1
O01375,P0386,1
O00438,P0279,4
O01053,P0113,3
O02347,P0017,1
O01842,P0399,1
O04001,P0167,4
O04648,P0331,3
O02565,P0487,5
O00966,P0475,3
O03408,P0435,2
O02407,P0282,5
O04749,P0216,2
O03900,P0472,1
O03283,P0233,1
O04779,P0332,1
O00205,P0295,4
O02524,P0187,1
O01084,P0203,5
O04840,P0154,2
O00991,P0335,5
O00454,P0115,5
O04621,P0135,3
O02705,P0278,3
O04625,P0020,3
O00934,P0332,2
O02149,P0042,4
O00649,P0484,5
O00667,P0195,4
O00684,P0176,4
O01472,P0344,4
O01562,P0123,5
O01123,P0207,3
O02590,P0207,4
O01151,P0422,1
O01942,P0246,4
O00274,P0334,3
O00149,P0493,3
O01967,P0308,2
O04037,P0036,4
O03906,P0162,1
O02438,P0092,2
O02985,P0374,3
O01747,P0314,1
O02096,P0401,1
O02015,P0110,1
O01843,P0129,3
O04552,P0315,2
O01903,P0193,4
O02443,P0340,3
O03038,P0490,1
O00577,P0061,2
O00812,P0041,4
O01545,P0033,1
O00446,P0369,1
O04761,P0450,3
O03447,P0359,5
O00883,P0030,4
O02132,P0393,5
O00225,P0302,2
O03060,P0195,2
O01703,P0093,1
O01289,P0209,3
O04150,P0240,4
O03251,P0421,5
O02027,P0195,4
O04840,P0295,4
O04009,P0152,3
O00887,P0004,1
O00071,P0268,1
O00175,P0326,5
O02500,P0293,1
O00675,P0463,3
O04554,P0302,3
O02042,P0317,4
O04772,P0491,4
O03391,P0424,5
O02733,P0322,4
O00088,P0032,1
O01087,P0289,2
O00846,P0246,4
O04513,P0048,4
O04443,P0272,5
O03785,P0226,2
O04107,P0030,4
O01434,P0170,2
O04119,P0096,2
O01129,P0123,3
O02048,P0133,1
O00503,P0424,1
O00148,P0101,4
O03608,P0366,5
O01276,P0226,3
O01553,P0164,4
O03825,P0407,4
O01375,P0269,4
O03350,P0198,2
O03354,P0240,2
O01476,P0289,2
O01115,P0437,2
O03938,P0220,1
O02090,P0308,4
O04770,P0231,2
O04238,P0211,3
O04593,P0109,3
O00821,P0411,2
O00784,P0330,4
O04769,P0383,1
O00133,P0088,2
O02503,P0384,3
O02806,P0119,3
O04458,P0145,4
O00003,P0158,4
O02008,P0477,2
O01494,P0430,3
O04576,P0149,2
O04261,P0178,3
O01611,P0487,5
O04569,P0304,5
O02062,P0024,5
O02601,P0257,5
O01910,P0461,3
O01215,P0285,1
O01328,P0473,2
O01896,P0460,1
O00420,P0181,1
O04749,P0157,2
O04886,P0251,2
O02394,P0280,2
O00576,P0055,2
