OrderID,CustomerID,OrderDate
O00001,C0267,2025-07-02
O00002,C0262,2025-02-06
O00003,C0046,2025-09-12
O00004,C0692,2025-10-25
O00005,C0614,2025-11-08
O00006,C0747,2025-12-07
O00007,C0504,2025-04-25
O00008,C0469,2025-07-15
O00009,C0440,2025-06-26
O00010,C0680,2025-12-22
O00011,C0075,2025-07-24
O00012,C0728,2025-05-06
O00013,C0878,2025-03-16
O00014,C0593,2025-09-29
O00015,C0278,2025-07-31
O00016,C0912,2025-05-11
O00017,C0179,2025-12-15
O00018,C0211,2025-02-17
O00019,C0977,2025-04-23
O00020,C0099,2025-03-26
O00021,C0549,2025-04-14
O00022,C0939,2025-02-03
O00023,C0578,2025-01-25
O00024,C0471,2025-03-03
O00025,C0318,2025-06-03
O00026,C0870,2025-03-31
O00027,C0971,2025-10-28
O00028,C0104,2025-12-19
O00029,C0771,2025-12-04
O00030,C0138,2025-12-18
O00031,C0484,2025-03-31
O00032,C0242,2025-06-23
O00033,C0254,2025-07-26
O00034,C0658,2025-02-02
O00035,C0279,2025-06-15
O00036,C0631,2025-12-15
O00037,C0815,2025-11-24
O00038,C0320,2025-10-27
O00039,C0523,2025-05-04
O00040,C0746,2025-08-23
O00041,C0241,2025-09-04
O00042,C0529,2025-11-26
O00043,C0869,2025-05-21
O00044,C0445,2025-05-11
O00045,C0940,2025-04-03
O00046,C0410,2025-11-04
O00047,C0005,2025-08-04
O00048,C0496,2025-01-13
O00049,C0069,2025-03-02
O00050,C0717,2025-06-10
O00051,C0345,2025-10-06
O00052,C0648,2025-10-19
O00053,C0431,2025-03-16
O00054,C0901,2025-02-16
O00055,C0171,2025-09-03
O00056,C0683,2025-04-17
O00057,C0936,2025-11-15
O00058,C0383,2025-10-04
O00059,C0645,2025-10-27
O00060,C0748,2025-07-16
O00061,C0256,2025-12-03
O00062,C0290,2025-12-07
O00063,C0169,2025-01-04
O00064,C0503,2025-11-09
O00065,C0882,2025-03-20
O00066,C0619,2025-08-05
O00067,C0824,2025-09-17
O00068,C0054,2025-10-14
O00069,C0013,2025-05-10
O00070,C0599,2025-07-21
O00071,C0801,2025-08-02
O00072,C0942,2025-12-06
O00073,C0967,2025-11-14
O00074,C0879,2025-04-23
O00075,C0423,2025-10-25
O00076,C0702,2025-04-15
O00077,C0433,2025-10-28
O00078,C0522,2025-12-24
O00079,C0700,2025-09-29
O00080,C0332,2025-04-24
O00081,C0938,2025-10-07
O00082,C0991,2025-12-28
O00083,C0309,2025-10-31
O00084,C0824,2025-08-10
O00085,C0019,2025-09-27
O00086,C0156,2025-11-12
O00087,C0627,2025-06-26
O00088,C0757,2025-01-19
O00089,C0420,2025-03-19
O00090,C0453,2025-01-27
O00091,C0375,2025-07-04
O00092,C0197,2025-11-04
O00093,C0352,2025-03-09
O00094,C0047,2025-10-02
O00095,C0051,2025-09-06
O00096,C0740,2025-06-19
O00097,C0557,2025-06-17
O00098,C0459,2025-12-20
